year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,ir_time,distance,hour,minute,time_hour
2013,5,4,1142,1124,18,1402,1404,-2,UA,1496,N73406,EWR,IAH,178,1400,11,24,"2013-05-04 11:00:00"
2013,10,27,1306,1315,-9,1359,1435,-36,US,1752,N965UW,LGA,PHL,36,96,13,15,"2013-10-27 13:00:00"
2013,6,8,659,700,-1,915,928,-13,DL,1547,N3739P,LGA,ATL,114,762,7,0,"2013-06-08 07:00:00"
2013,2,10,1949,1940,9,2236,2248,-12,B6,381,N537JB,LGA,FLL,140,1076,19,40,"2013-02-10 19:00:00"
2013,8,12,1826,1822,4,2153,2155,-2,UA,1141,N57439,EWR,SFO,353,2565,18,22,"2013-08-12 18:00:00"
2013,1,14,1909,1910,-1,2219,2231,-12,B6,87,N547JB,JFK,SLC,288,1990,19,10,"2013-01-14 19:00:00"
2013,4,10,823,829,-6,1026,1024,2,MQ,4607,N520MQ,LGA,CMH,75,479,8,29,"2013-04-10 08:00:00"
2013,4,12,649,642,7,814,808,6,EV,3835,N11565,EWR,PIT,62,319,6,42,"2013-04-12 06:00:00"
2013,1,22,1808,1808,0,1948,1949,-1,UA,1053,N16701,EWR,CLE,69,404,18,8,"2013-01-22 18:00:00"
2013,11,3,1939,1945,-6,2246,2306,-20,DL,302,N339NB,LGA,RSW,156,1080,19,45,"2013-11-03 19:00:00"
2013,12,30,1922,1930,-8,2042,2049,-7,EV,5769,N830AS,LGA,IAD,49,229,19,30,"2013-12-30 19:00:00"
2013,8,29,610,610,0,949,725,NA,WN,249,N790SW,EWR,MDW,NA,711,6,10,"2013-08-29 06:00:00"
2013,12,25,1009,1010,-1,1238,1226,12,EV,4567,N33182,EWR,MCI,183,1092,10,10,"2013-12-25 10:00:00"
2013,9,7,804,805,-1,1012,941,31,9E,3611,N8923A,JFK,PIT,59,340,8,5,"2013-09-07 08:00:00"
2013,2,11,1959,1925,34,2253,2235,18,DL,2370,N321NB,LGA,PBI,153,1035,19,25,"2013-02-11 19:00:00"
2013,5,22,NA,2102,NA,NA,2227,NA,EV,4119,N16561,EWR,RIC,NA,277,21,2,"2013-05-22 21:00:00"
2013,9,3,958,1000,-2,1100,1128,-28,UA,775,N453UA,EWR,ORD,106,719,10,0,"2013-09-03 10:00:00"
2013,12,21,1644,1650,-6,1933,2005,-32,AA,1171,N3LEAA,LGA,DFW,211,1389,16,50,"2013-12-21 16:00:00"
2013,9,24,1901,1910,-9,2153,2210,-17,AA,1193,N3JVAA,LGA,DFW,189,1389,19,10,"2013-09-24 19:00:00"
2013,10,12,602,610,-8,746,809,-23,DL,1919,N976DL,LGA,MSP,133,1020,6,10,"2013-10-12 06:00:00"
2013,8,30,819,824,-5,1015,1018,-3,US,1831,N537UW,JFK,CLT,76,541,8,24,"2013-08-30 08:00:00"
2013,1,6,2229,2040,109,107,2312,115,EV,4645,N11547,EWR,JAX,143,820,20,40,"2013-01-06 20:00:00"
2013,3,14,2041,2045,-4,2318,2357,-39,B6,677,N625JB,JFK,LAX,308,2475,20,45,"2013-03-14 20:00:00"
2013,10,11,1909,1905,4,2101,2131,-30,DL,2454,N372DA,JFK,DEN,210,1626,19,5,"2013-10-11 19:00:00"
2013,3,2,839,850,-11,1025,1035,-10,MQ,4558,N719MQ,LGA,CLE,70,419,8,50,"2013-03-02 08:00:00"
2013,5,5,1200,1205,-5,1437,1425,12,MQ,4658,N6EAMQ,LGA,ATL,107,762,12,5,"2013-05-05 12:00:00"
2013,11,2,807,759,8,947,947,0,9E,3611,N8903A,JFK,PIT,67,340,7,59,"2013-11-02 07:00:00"
2013,8,18,2144,2049,55,46,10,36,UA,1532,N53441,EWR,SFO,336,2565,20,49,"2013-08-18 20:00:00"
2013,10,6,731,735,-4,1013,1040,-27,DL,183,N704X,JFK,SEA,323,2422,7,35,"2013-10-06 07:00:00"
2013,7,11,1148,1029,79,1342,1239,63,US,196,N510UW,JFK,PHX,270,2153,10,29,"2013-07-11 10:00:00"
2013,6,4,657,700,-3,941,945,-4,AA,1949,N3BTAA,JFK,LAS,310,2248,7,0,"2013-06-04 07:00:00"
2013,5,9,1717,1655,22,2033,2020,13,VX,413,N630VA,JFK,LAX,329,2475,16,55,"2013-05-09 16:00:00"
2013,9,10,1449,1456,-7,1559,1637,-38,9E,3868,N8516C,JFK,ORF,44,290,14,56,"2013-09-10 14:00:00"
2013,4,2,840,808,32,946,923,23,EV,4233,N14952,EWR,BTV,43,266,8,8,"2013-04-02 08:00:00"
2013,6,26,35,2245,110,211,1,130,B6,234,N318JB,JFK,BTV,48,266,22,45,"2013-06-26 22:00:00"
2013,2,1,1226,1230,-4,1348,1405,-17,WN,283,N276WN,LGA,MKE,112,738,12,30,"2013-02-01 12:00:00"
2013,4,30,1426,1355,31,1618,1615,3,WN,1638,N203WN,EWR,PHX,272,2133,13,55,"2013-04-30 13:00:00"
2013,2,5,846,835,11,1146,1150,-4,AA,717,N3BCAA,LGA,DFW,211,1389,8,35,"2013-02-05 08:00:00"
2013,7,28,1247,1250,-3,1445,1450,-5,DL,1131,N339NB,LGA,DTW,83,502,12,50,"2013-07-28 12:00:00"
2013,6,2,1202,1130,32,1259,1228,31,EV,3823,N11536,EWR,PVD,35,160,11,30,"2013-06-02 11:00:00"
2013,12,19,1511,1515,-4,1650,1705,-15,MQ,3231,N672MQ,JFK,PIT,72,340,15,15,"2013-12-19 15:00:00"
2013,10,11,945,930,15,1235,1245,-10,WN,746,N729SW,EWR,AUS,201,1504,9,30,"2013-10-11 09:00:00"
2013,1,24,1351,1329,22,1644,1626,18,UA,424,N526UA,EWR,PBI,150,1023,13,29,"2013-01-24 13:00:00"
2013,3,20,905,859,6,1207,1219,-12,UA,1581,N27239,EWR,SEA,335,2402,8,59,"2013-03-20 08:00:00"
2013,12,2,1658,1700,-2,1955,2020,-25,AA,172,N5BYAA,EWR,MIA,149,1085,17,0,"2013-12-02 17:00:00"
2013,7,27,910,915,-5,1147,1210,-23,AA,1,N336AA,JFK,LAX,314,2475,9,15,"2013-07-27 09:00:00"
2013,12,5,NA,2145,NA,NA,2253,NA,EV,4625,N13949,EWR,DCA,NA,199,21,45,"2013-12-05 21:00:00"
2013,8,12,1404,1347,17,1648,1644,4,DL,1685,N964DL,LGA,MCO,128,950,13,47,"2013-08-12 13:00:00"
2013,8,21,1159,1205,-6,1426,1430,-4,MQ,3658,N531MQ,LGA,ATL,116,762,12,5,"2013-08-21 12:00:00"
2013,9,22,1117,1120,-3,1239,1230,9,B6,1307,N292JB,JFK,IAD,46,228,11,20,"2013-09-22 11:00:00"
2013,4,26,1814,1529,165,2007,1647,200,EV,4583,N15910,EWR,BNA,122,748,15,29,"2013-04-26 15:00:00"
2013,8,29,623,629,-6,858,929,-31,AA,1921,N3HRAA,EWR,MIA,136,1085,6,29,"2013-08-29 06:00:00"
2013,12,20,1301,1259,2,1508,1513,-5,EV,5207,N738EV,LGA,CLT,98,544,12,59,"2013-12-20 12:00:00"
2013,7,7,1014,1011,3,1249,1306,-17,UA,1735,N76515,EWR,LAX,314,2454,10,11,"2013-07-07 10:00:00"
2013,3,12,1956,1949,7,2250,2321,-31,UA,1621,N29129,EWR,SFO,326,2565,19,49,"2013-03-12 19:00:00"
2013,2,8,NA,1904,NA,NA,2109,NA,EV,4437,N11535,EWR,CLT,NA,529,19,4,"2013-02-08 19:00:00"
2013,4,28,814,825,-11,1111,1152,-41,UA,397,N518UA,JFK,SFO,322,2586,8,25,"2013-04-28 08:00:00"
2013,6,26,2004,1800,124,2157,1947,130,UA,691,N847UA,LGA,ORD,103,733,18,0,"2013-06-26 18:00:00"
2013,3,2,1126,1130,-4,1353,1437,-44,UA,703,N502UA,JFK,LAX,308,2475,11,30,"2013-03-02 11:00:00"
2013,12,19,1040,1035,5,1410,1405,5,VX,23,N840VA,JFK,SFO,354,2586,10,35,"2013-12-19 10:00:00"
2013,12,9,830,840,-10,1126,1115,11,MQ,3419,N0EGMQ,LGA,ATL,134,762,8,40,"2013-12-09 08:00:00"
2013,7,22,906,910,-4,1153,1215,-22,UA,1232,N37464,EWR,LAX,320,2454,9,10,"2013-07-22 09:00:00"
2013,7,7,930,840,50,1133,1100,33,MQ,3419,N6EAMQ,LGA,ATL,106,762,8,40,"2013-07-07 08:00:00"
2013,2,20,1716,1721,-5,2035,2020,15,UA,1705,N19130,EWR,IAH,235,1400,17,21,"2013-02-20 17:00:00"
2013,1,14,1258,1300,-2,1425,1437,-12,UA,1037,N58101,EWR,ORD,128,719,13,0,"2013-01-14 13:00:00"
2013,8,6,822,824,-2,1012,1017,-5,US,1831,N155UW,JFK,CLT,82,541,8,24,"2013-08-06 08:00:00"
2013,5,1,950,950,0,1150,1159,-9,EV,4298,N13123,EWR,SAV,103,708,9,50,"2013-05-01 09:00:00"
2013,5,3,752,805,-13,1047,1102,-15,DL,1109,N914DL,LGA,TPA,141,1010,8,5,"2013-05-03 08:00:00"
2013,10,4,1543,1548,-5,1735,1757,-22,EV,3825,N21537,EWR,IND,95,645,15,48,"2013-10-04 15:00:00"
2013,6,22,1639,1645,-6,1753,1826,-33,EV,5432,N761ND,LGA,BNA,105,764,16,45,"2013-06-22 16:00:00"
2013,10,3,1728,1730,-2,2002,2017,-15,B6,327,N784JB,EWR,MCO,129,937,17,30,"2013-10-03 17:00:00"
2013,12,13,638,639,-1,936,944,-8,UA,785,N559UA,EWR,LAX,336,2454,6,39,"2013-12-13 06:00:00"
2013,6,5,958,1005,-7,1250,1251,-1,B6,65,N709JB,JFK,TPA,144,1005,10,5,"2013-06-05 10:00:00"
2013,8,13,631,630,1,747,750,-3,EV,4241,N12996,EWR,DCA,50,199,6,30,"2013-08-13 06:00:00"
2013,1,26,803,800,3,1028,1008,20,EV,4498,N11192,EWR,MSP,169,1008,8,0,"2013-01-26 08:00:00"
2013,12,2,1538,1545,-7,1731,1756,-25,EV,4576,N11536,EWR,GRR,95,605,15,45,"2013-12-02 15:00:00"
2013,8,24,1224,1230,-6,1405,1424,-19,EV,4640,N16963,EWR,DAY,80,533,12,30,"2013-08-24 12:00:00"
2013,8,29,831,645,106,1026,908,78,US,623,N534UW,JFK,PHX,265,2153,6,45,"2013-08-29 06:00:00"
2013,8,29,932,929,3,1222,1222,0,UA,497,N534UA,EWR,PBI,134,1023,9,29,"2013-08-29 09:00:00"
2013,11,2,856,900,-4,1017,1045,-28,AA,313,N519AA,LGA,ORD,116,733,9,0,"2013-11-02 09:00:00"
2013,1,28,633,634,-1,816,822,-6,EV,4334,N21129,EWR,CMH,79,463,6,34,"2013-01-28 06:00:00"
2013,11,9,2135,2140,-5,35,40,-5,AA,185,N339AA,JFK,LAX,329,2475,21,40,"2013-11-09 21:00:00"
2013,12,24,1352,1355,-3,1503,1525,-22,WN,3,N419WN,LGA,MDW,109,725,13,55,"2013-12-24 13:00:00"
2013,7,31,1830,1835,-5,2139,2155,-16,AA,269,N3JFAA,JFK,SEA,343,2422,18,35,"2013-07-31 18:00:00"
2013,7,29,1148,1115,33,1349,1305,44,MQ,3281,N720MQ,LGA,CMH,74,479,11,15,"2013-07-29 11:00:00"
2013,10,30,1229,1115,74,1343,1300,43,EV,5273,N614QX,LGA,PIT,52,335,11,15,"2013-10-30 11:00:00"
2013,3,4,1620,1440,100,1938,1753,105,DL,2079,N919DE,LGA,FLL,146,1076,14,40,"2013-03-04 14:00:00"
2013,3,24,1535,1535,0,1844,1850,-6,AA,763,N3BNAA,LGA,DFW,206,1389,15,35,"2013-03-24 15:00:00"
2013,11,29,1448,1500,-12,1637,1656,-19,US,721,N150UW,EWR,CLT,82,529,15,0,"2013-11-29 15:00:00"
2013,9,21,1240,1300,-20,1402,1434,-32,UA,687,N816UA,LGA,ORD,109,733,13,0,"2013-09-21 13:00:00"
2013,4,11,1456,1325,91,1658,1500,118,AA,331,N4WWAA,LGA,ORD,117,733,13,25,"2013-04-11 13:00:00"
2013,5,30,1151,1200,-9,1242,1309,-27,US,2126,N958UW,LGA,BOS,37,184,12,0,"2013-05-30 12:00:00"
2013,8,22,1059,1030,29,1343,1240,63,DL,2343,N308DE,EWR,ATL,118,746,10,30,"2013-08-22 10:00:00"
2013,1,13,2102,1925,97,7,2247,80,DL,2139,N934DL,LGA,MIA,144,1096,19,25,"2013-01-13 19:00:00"
2013,12,31,1440,1441,-1,1707,1724,-17,9E,2918,N928XJ,JFK,IND,116,665,14,41,"2013-12-31 14:00:00"
2013,8,9,1800,1735,25,1937,1906,31,DL,2383,N376NW,LGA,PWM,46,269,17,35,"2013-08-09 17:00:00"
2013,4,12,1609,1430,99,1834,1626,128,EV,4157,N11539,EWR,CHS,115,628,14,30,"2013-04-12 14:00:00"
2013,4,1,1507,1320,107,1921,1710,131,B6,705,N590JB,JFK,SJU,212,1598,13,20,"2013-04-01 13:00:00"
2013,9,10,1052,1100,-8,1228,1245,-17,9E,3475,N930XJ,EWR,DTW,76,488,11,0,"2013-09-10 11:00:00"
2013,5,29,609,604,5,830,853,-23,UA,1506,N37437,EWR,LAS,288,2227,6,4,"2013-05-29 06:00:00"
2013,4,7,550,600,-10,847,858,-11,UA,690,N580UA,EWR,FLL,153,1065,6,0,"2013-04-07 06:00:00"
2013,2,25,1951,2000,-9,2113,2114,-1,US,2142,N954UW,LGA,BOS,34,184,20,0,"2013-02-25 20:00:00"
2013,7,29,1532,1535,-3,1848,1850,-2,B6,1729,N547JB,JFK,RSW,154,1074,15,35,"2013-07-29 15:00:00"
2013,9,7,1636,1630,6,1920,1946,-26,DL,1543,N718TW,JFK,SEA,319,2422,16,30,"2013-09-07 16:00:00"
2013,12,29,1128,1130,-2,1308,1319,-11,EV,4628,N10575,EWR,STL,138,872,11,30,"2013-12-29 11:00:00"
2013,3,9,1736,1700,36,2005,1950,15,AA,575,N624AA,JFK,EGE,242,1746,17,0,"2013-03-09 17:00:00"
2013,6,3,1229,955,154,1442,1210,152,9E,4060,N8611A,LGA,DAY,89,549,9,55,"2013-06-03 09:00:00"
2013,11,12,1221,1200,21,1518,1437,41,DL,1947,N916DE,LGA,ATL,126,762,12,0,"2013-11-12 12:00:00"
2013,11,2,741,738,3,841,835,6,EV,3847,N13550,EWR,BDL,25,116,7,38,"2013-11-02 07:00:00"
2013,12,3,1654,1650,4,1803,1807,-4,B6,1734,N317JB,JFK,BTV,49,266,16,50,"2013-12-03 16:00:00"
2013,1,8,1119,1121,-2,1521,1347,NA,UA,1493,N26208,EWR,DEN,NA,1605,11,21,"2013-01-08 11:00:00"
2013,5,19,819,820,-1,1109,1110,-1,DL,1959,N908DL,JFK,MCO,125,944,8,20,"2013-05-19 08:00:00"
2013,7,13,NA,1930,NA,NA,2105,NA,EV,4191,N14952,EWR,BNA,NA,748,19,30,"2013-07-13 19:00:00"
2013,4,9,554,600,-6,808,815,-7,FL,345,N173AT,LGA,ATL,113,762,6,0,"2013-04-09 06:00:00"
2013,10,24,1044,1045,-1,1355,1359,-4,DL,954,N370NB,LGA,FLL,167,1076,10,45,"2013-10-24 10:00:00"
2013,4,25,634,640,-6,933,922,11,B6,983,N517JB,LGA,TPA,157,1010,6,40,"2013-04-25 06:00:00"
2013,1,6,1820,1830,-10,1955,2015,-20,MQ,4674,N542MQ,LGA,CLE,71,419,18,30,"2013-01-06 18:00:00"
2013,7,14,2029,2030,-1,2212,2245,-33,9E,4033,N8488D,LGA,TYS,86,647,20,30,"2013-07-14 20:00:00"
2013,9,29,959,1005,-6,1146,1214,-28,DL,2319,N913DE,LGA,MSP,139,1020,10,5,"2013-09-29 10:00:00"
2013,9,21,942,950,-8,1214,1220,-6,VX,251,N361VA,JFK,LAS,295,2248,9,50,"2013-09-21 09:00:00"
2013,11,24,1656,1700,-4,1832,1816,16,B6,1734,N267JB,JFK,BTV,51,266,17,0,"2013-11-24 17:00:00"
2013,12,14,929,920,9,1300,1245,15,VX,407,N633VA,JFK,LAX,335,2475,9,20,"2013-12-14 09:00:00"
2013,9,7,1338,1205,93,1513,1424,49,UA,696,N425UA,EWR,PHX,258,2133,12,5,"2013-09-07 12:00:00"
2013,1,29,1133,1140,-7,1423,1450,-27,DL,930,N370NB,LGA,FLL,146,1076,11,40,"2013-01-29 11:00:00"
2013,3,31,1933,1935,-2,2233,2235,-2,DL,1485,N984DL,LGA,MCO,141,950,19,35,"2013-03-31 19:00:00"
2013,4,1,701,700,1,816,837,-21,UA,521,N485UA,EWR,ORD,113,719,7,0,"2013-04-01 07:00:00"
2013,5,3,1248,1250,-2,1451,1455,-4,DL,1131,N982DL,LGA,DTW,74,502,12,50,"2013-05-03 12:00:00"
2013,5,13,1659,1545,74,1931,1849,42,DL,4,N3764D,JFK,MCO,129,944,15,45,"2013-05-13 15:00:00"
2013,11,8,1733,1725,8,2020,2028,-8,UA,212,N822UA,EWR,IAH,200,1400,17,25,"2013-11-08 17:00:00"
2013,5,17,609,613,-4,916,935,-19,UA,303,N557UA,JFK,SFO,339,2586,6,13,"2013-05-17 06:00:00"
2013,7,10,1332,1325,7,1822,1801,21,UA,15,N59053,EWR,HNL,621,4963,13,25,"2013-07-10 13:00:00"
2013,4,23,1511,1500,11,1821,1800,21,AA,883,N403AA,EWR,DFW,203,1372,15,0,"2013-04-23 15:00:00"
2013,5,15,2000,1955,5,2106,2108,-2,EV,4312,N12967,EWR,DCA,38,199,19,55,"2013-05-15 19:00:00"
2013,5,30,926,930,-4,1232,1255,-23,AA,179,N319AA,JFK,SFO,346,2586,9,30,"2013-05-30 09:00:00"
2013,5,29,820,820,0,922,930,-8,AA,1838,N3JKAA,JFK,BOS,42,187,8,20,"2013-05-29 08:00:00"
2013,1,10,1738,1745,-7,1939,1953,-14,DL,2331,N909DE,LGA,DTW,84,502,17,45,"2013-01-10 17:00:00"
2013,7,27,857,900,-3,1143,1203,-20,DL,1443,N713TW,JFK,SEA,316,2422,9,0,"2013-07-27 09:00:00"
2013,4,23,1454,1455,-1,1833,1805,28,AA,759,N3KJAA,LGA,DFW,216,1389,14,55,"2013-04-23 14:00:00"
